Código.IBGE,municipio,Diretoria.Regional,Mesorregião,n_alunos_beneficiarios_atualmente,n_familias_beneficiarias_atualmente,n_alunos_receberam_lista_atual,n_alunos_receberam_incluindo_bloqueados,n_familias_receberam_lista_atual,n_familias_receberam_incluindo_bloqueados,n_familias_atuais_receberam_parcialmente,n_alunos_atuais_receberam_parcialmente,n_familias_atuais_receberam_tudo,n_alunos_atuais_receberam_tudo,n_familias_atuais_receberam_a_mais,n_alunos_atuais_receberam_a_mais,perc_alunos_receberam_lista_atual,perc_familias_receberam_lista_atual,total_dinheiro_lista_atual,total_dinheiro
3108255,BONITO DE MINAS,Montes Claros,Norte de Minas,90,42,12,12,7,7,0,0,7,12,0,0,0.13333333333333333,0.16666666666666666,1200,1200
3108305,BORDA DA MATA,Poços de Caldas,Sul/Sudoeste de Minas,84,59,31,31,21,21,0,0,21,31,0,0,0.36904761904761907,0.3559322033898305,3100,3100
3108404,BOTELHOS,Poços de Caldas,Sul/Sudoeste de Minas,170,127,16,16,9,9,1,2,8,14,0,0,0.09411764705882353,0.07086614173228346,1500,1500
3108503,BOTUMIRIM,Montes Claros,Norte de Minas,56,33,23,23,13,13,0,0,13,23,0,0,0.4107142857142857,0.3939393939393939,2300,2300
3108552,BRASILANDIA DE MINAS,Paracatu,Noroeste de Minas,78,47,23,23,13,13,0,0,13,23,0,0,0.2948717948717949,0.2765957446808511,2300,2300
3108602,BRASILIA DE MINAS,Montes Claros,Norte de Minas,343,216,137,137,79,79,0,0,79,137,0,0,0.39941690962099125,0.36574074074074076,13700,13700
3108701,BRAS PIRES,São João Del Rei,Zona da Mata,11,6,5,5,2,2,0,0,2,5,0,0,0.45454545454545453,0.3333333333333333,500,500
3108800,BRAUNAS,Timóteo,Vale do Rio Doce,30,26,8,8,7,7,0,0,7,8,0,0,0.26666666666666666,0.2692307692307692,800,800
3108909,BRAZOPOLIS,Poços de Caldas,Sul/Sudoeste de Minas,122,88,11,11,7,7,0,0,7,11,0,0,0.09016393442622951,0.07954545454545454,1100,1100
3109006,BRUMADINHO,Metropolitana,Metropolitana de Belo Horizonte,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
